,label,cluster,id,c0.4,c0.3,c0.25,c0.1,c0.05,cluster.ordered,count,pgkb,drugbank,drug,gene
927,"(dexamethasone,mmp-9)",16,852,18,24,29,62,97,25,16,0,0,dexamethasone,mmp-9
3372,"(trimetrexate,dhfr)",4,853,6,6,6,150,549,8,13,0,1,trimetrexate,dhfr
3407,"(urokinase,upar)",6,854,7,7,22,31,550,12,486,0,1,urokinase,upar
181,"(arsenite,hif-1)",8,855,9,9,19,28,32,17,6,0,0,arsenite,hif-1
948,"(dexamethasone,pla2)",4,856,6,6,6,93,246,8,45,0,0,dexamethasone,pla2
1107,"(efalizumab,lfa-1)",4,857,6,6,6,231,551,8,28,0,0,efalizumab,lfa-1
3468,"(vinblastine,p-gp)",15,858,16,16,16,297,552,10,82,0,0,vinblastine,p-gp
3030,"(rosuvastatin,pcsk9)",20,859,26,35,42,330,553,9,7,0,0,rosuvastatin,pcsk9
3305,"(thyroglobulin,factor-1)",9,860,10,10,10,104,554,6,12,0,0,thyroglobulin,factor-1
694,"(creatine,ctnt)",18,861,34,44,52,180,257,21,33,0,0,creatine,ctnt
2330,"(nateglinide,pept1)",4,862,6,18,104,331,555,8,8,0,0,nateglinide,pept1
1558,"(glcnac,mucin)",9,863,10,23,28,85,182,6,18,0,0,glcnac,mucin
123,"(amiodarone,ncx1)",4,864,6,6,6,14,389,8,6,0,0,amiodarone,ncx1
325,"(bleomycin,blmh)",6,865,7,7,7,332,556,12,8,1,0,bleomycin,blmh
2757,"(propranolol,5-ht1b)",4,866,4,4,4,11,557,8,20,0,1,propranolol,5-ht1b
2162,"(metformin,ampk)",5,867,5,25,30,114,144,14,379,1,1,metformin,ampk
2756,"(propranolol,5-ht1a)",4,868,4,4,4,5,78,8,34,0,1,propranolol,5-ht1a
1960,"(isoproterenol,il-1)",8,869,9,9,9,80,499,17,16,0,0,isoproterenol,il-1
2316,"(naloxone,lhrh)",11,870,17,17,18,259,558,18,29,0,0,naloxone,lhrh
73,"(aldosterone,osteopontin)",16,871,18,24,29,58,559,25,9,0,0,aldosterone,osteopontin
2009,"(lamivudine,ifn-alpha)",9,872,10,23,28,42,48,6,44,0,0,lamivudine,ifn-alpha
693,"(creatine,ctni)",18,873,34,44,52,180,257,21,50,0,0,creatine,ctni
2187,"(methacholine,copd)",10,874,11,11,11,13,15,24,20,0,0,methacholine,copd
1614,"(gm-csf,jak2)",16,875,18,24,29,45,560,25,58,0,0,gm-csf,jak2
3433,"(vasopressin,calmodulin)",12,876,22,45,53,333,561,1,12,0,0,vasopressin,calmodulin
2426,"(octreotide,stat3)",21,877,29,38,46,94,177,19,6,0,0,octreotide,stat3
2611,"(pge2,stat3)",5,878,5,25,30,65,207,14,9,0,0,pge2,stat3
188,"(arsenite,nqo1)",1,879,1,1,1,334,562,13,7,0,0,arsenite,nqo1
2992,"(rolipram,il-5)",16,880,23,30,36,335,563,25,7,0,0,rolipram,il-5
1269,"(fenofibrate,adiponectin)",11,881,17,17,18,259,407,18,8,0,0,fenofibrate,adiponectin
1646,"(gp120,lectin)",12,882,22,28,101,336,564,1,43,0,0,gp120,lectin
1180,"(estradiol,hsd17b7)",11,883,17,17,18,61,184,18,6,0,0,estradiol,hsd17b7
612,"(clenbuterol,ml-1)",9,884,10,10,10,12,398,6,9,0,0,clenbuterol,ml-1
3182,"(sumatriptan,5-ht1d)",5,885,21,33,39,159,223,14,81,0,1,sumatriptan,5-ht1d
32,"(acitretin,etanercept)",9,886,10,23,28,255,390,6,7,0,0,acitretin,etanercept
335,"(bortezomib,mcl-1)",4,887,39,62,72,311,519,8,15,0,0,bortezomib,mcl-1
3181,"(sumatriptan,5-ht1b)",5,888,21,33,39,68,96,14,67,0,1,sumatriptan,5-ht1b
3180,"(sumatriptan,5-ht1a)",5,889,21,26,31,113,565,14,11,0,1,sumatriptan,5-ht1a
1479,"(gefitinib,rad51)",3,890,3,46,54,337,566,20,18,0,0,gefitinib,rad51
227,"(atorvastatin,tsp-1)",16,891,18,24,29,62,567,25,7,0,0,atorvastatin,tsp-1
2510,"(paclitaxel,stat3)",21,892,29,38,75,185,534,19,9,0,0,paclitaxel,stat3
910,"(dexamethasone,ikappabalpha)",8,893,9,9,9,10,12,17,7,0,0,dexamethasone,ikappabalpha
35,"(adalimumab,tace)",4,894,6,6,6,139,568,8,9,0,0,adalimumab,tace
1791,"(il-2,erk2)",21,895,29,57,65,151,205,19,21,0,0,il-2,erk2
771,"(cyclophosphamide,cyp3a4)",11,896,12,71,84,338,569,18,11,1,0,cyclophosphamide,cyp3a4
2378,"(noradrenaline,calcitonin)",9,897,10,10,10,12,101,6,11,0,0,noradrenaline,calcitonin
1129,"(erlotinib,mtor)",13,898,14,14,14,339,570,11,6,0,0,erlotinib,mtor
2461,"(ouabain,adenosinetriphosphatase)",8,899,9,9,19,28,571,17,7,0,0,ouabain,adenosinetriphosphatase
611,"(clenbuterol,igf-i)",8,900,9,9,9,43,210,17,7,0,0,clenbuterol,igf-i
3058,"(sevoflurane,ho-1)",16,901,18,24,29,45,52,25,8,0,0,sevoflurane,ho-1
2648,"(phylloquinone,osteocalcin)",3,902,3,3,3,340,572,20,20,0,1,phylloquinone,osteocalcin
3067,"(sildenafil,pde5a)",4,903,6,6,6,41,71,8,10,0,1,sildenafil,pde5a
1285,"(fenofibrate,tlr4)",8,904,9,9,9,10,12,17,10,0,0,fenofibrate,tlr4
150,"(apap,cyp3a4)",5,905,5,25,40,70,573,14,5,1,0,apap,cyp3a4
458,"(cefadroxil,pept2)",12,906,22,49,57,133,574,1,18,0,0,cefadroxil,pept2
2012,"(lansoprazole,bfgf)",16,907,18,24,43,82,575,25,6,0,0,lansoprazole,bfgf
2571,"(pge2,cyclooxygenase-2)",1,908,1,59,67,341,576,13,106,0,0,pge2,cyclooxygenase-2
435,"(carboplatin,gm-csf)",9,909,10,23,28,42,493,6,18,0,0,carboplatin,gm-csf
2494,"(paclitaxel,egfr)",13,910,14,14,14,20,24,11,32,1,0,paclitaxel,egfr
1147,"(estradiol,bdnf)",5,911,5,83,105,342,577,14,24,0,0,estradiol,bdnf
1501,"(gemfibrozil,cyp2c8)",4,912,6,6,6,150,204,8,30,0,0,gemfibrozil,cyp2c8
591,"(cisplatin,rad51)",2,913,2,32,38,343,578,7,14,0,0,cisplatin,rad51
3099,"(simvastatin,sr-bi)",2,914,2,32,38,64,76,7,6,0,0,simvastatin,sr-bi
865,"(dexamethasone,ap-1)",15,915,16,16,16,22,579,10,34,0,0,dexamethasone,ap-1
3101,"(simvastatin,vegf)",5,916,5,25,40,176,580,14,29,0,0,simvastatin,vegf
2276,"(muraglitazar,ppar)",5,917,21,33,39,68,96,14,12,0,0,muraglitazar,ppar
2106,"(melatonin,5-ht2a)",6,918,7,7,7,8,10,12,9,0,0,melatonin,5-ht2a
3322,"(tnf-r2,traf2)",9,919,10,23,28,222,450,6,12,0,0,tnf-r2,traf2
336,"(bortezomib,nf-kappab)",4,920,6,6,6,93,115,8,115,0,0,bortezomib,nf-kappab
825,"(danazol,sulfatase)",4,921,6,6,6,93,581,8,11,0,0,danazol,sulfatase
1126,"(erlotinib,egfr)",22,922,31,40,48,98,582,22,529,1,1,erlotinib,egfr
1958,"(isoproterenol,creb)",5,923,21,26,31,49,376,14,14,0,0,isoproterenol,creb
819,"(d-tubocurarine,nachr)",6,924,35,51,59,344,583,12,16,0,0,d-tubocurarine,nachr
1222,"(et743,top1)",1,925,1,1,95,279,441,13,5,0,0,et743,top1
1857,"(imatinib,egfr)",4,926,6,6,6,223,584,8,10,0,0,imatinib,egfr
871,"(dexamethasone,bfgf)",16,927,18,24,43,82,575,25,14,0,0,dexamethasone,bfgf
2842,"(rapamycin,her2)",8,928,9,47,55,284,585,17,7,0,0,rapamycin,her2
2933,"(resveratrol,vegf)",16,929,18,24,29,167,586,25,42,0,0,resveratrol,vegf
876,"(dexamethasone,cd38)",16,930,18,24,29,227,488,25,6,0,0,dexamethasone,cd38
1148,"(estradiol,beta-endorphin)",12,931,22,49,57,237,587,1,33,0,0,estradiol,beta-endorphin
2990,"(rolipram,creb)",12,932,22,49,57,237,360,1,18,0,0,rolipram,creb
1314,"(fk506,bdnf)",8,933,9,9,19,28,32,17,7,0,0,fk506,bdnf
890,"(dexamethasone,factor-1)",5,934,21,33,39,156,214,14,5,0,0,dexamethasone,factor-1
960,"(dexamethasone,sp-a)",16,935,18,24,29,59,70,25,37,0,0,dexamethasone,sp-a
962,"(dexamethasone,sp-c)",8,936,9,9,19,28,333,17,10,0,0,dexamethasone,sp-c
961,"(dexamethasone,sp-b)",16,937,18,24,29,59,588,25,38,0,0,dexamethasone,sp-b
963,"(dexamethasone,sp-d)",8,938,9,9,9,43,49,17,5,0,0,dexamethasone,sp-d
2300,"(nadh,nicotinamide)",1,939,1,59,67,345,589,13,708,0,0,nadh,nicotinamide
3035,"(saha,hdac)",22,940,31,40,48,98,590,22,174,0,0,saha,hdac
902,"(dexamethasone,iapp)",11,941,17,17,18,24,28,18,7,0,0,dexamethasone,iapp
3111,"(sn-38,ugt1a1)",7,942,8,8,8,54,62,3,62,0,0,sn-38,ugt1a1
1542,"(genistein,pai-1)",16,943,18,24,29,62,128,25,23,0,0,genistein,pai-1
1024,"(diltiazem,ml-1)",8,944,9,9,19,28,32,17,9,0,0,diltiazem,ml-1
2550,"(perhexiline,cyp2d6)",7,945,8,8,8,87,108,3,23,1,0,perhexiline,cyp2d6
331,"(bortezomib,caspase-3)",8,946,9,9,9,18,388,17,8,0,0,bortezomib,caspase-3
36,"(adomet,mat1a)",9,947,10,23,28,42,525,6,14,0,1,adomet,mat1a
2547,"(pentamidine,rgds)",9,948,10,23,28,42,591,6,7,0,0,pentamidine,rgds
2766,"(propranolol,nadph)",9,949,10,23,28,76,92,6,7,0,0,propranolol,nadph
54,"(aldosterone,ctgf)",5,950,5,48,56,346,592,14,8,0,0,aldosterone,ctgf
2086,"(lovastatin,p-gp)",15,951,16,27,93,347,593,10,9,1,0,lovastatin,p-gp
730,"(curcumin,gadd153)",16,952,18,24,29,58,68,25,12,0,0,curcumin,gadd153
2890,"(resveratrol,adiponectin)",1,953,1,59,67,157,220,13,6,0,0,resveratrol,adiponectin
39,"(ajmaline,herg)",12,954,22,28,34,170,424,1,10,0,0,ajmaline,herg
756,"(curcumin,pla2)",1,955,1,1,1,115,594,13,5,0,0,curcumin,pla2
1871,"(imipramine,bdnf)",8,956,9,9,9,43,49,17,14,0,0,imipramine,bdnf
746,"(curcumin,mmp-9)",16,957,18,24,29,62,128,25,18,0,0,curcumin,mmp-9
744,"(curcumin,mmp-2)",3,958,3,3,3,4,382,20,19,0,0,curcumin,mmp-2
2341,"(nelfinavir,cyp3a4)",4,959,6,6,6,139,232,8,8,0,0,nelfinavir,cyp3a4
1551,"(gentamicin,caspase-3)",12,960,22,28,34,229,344,1,6,0,0,gentamicin,caspase-3
745,"(curcumin,mmp-3)",9,961,10,10,10,12,14,6,10,0,0,curcumin,mmp-3
3053,"(selegiline,mao-b)",4,962,6,6,6,148,595,8,131,0,1,selegiline,mao-b
1008,"(dicoumarol,hsp90)",13,963,14,14,14,125,164,11,6,0,0,dicoumarol,hsp90
2496,"(paclitaxel,her-2)",9,964,10,23,28,42,493,6,36,0,0,paclitaxel,her-2
2437,"(oltipraz,cyp2b6)",21,965,44,79,92,272,422,19,10,0,0,oltipraz,cyp2b6
2118,"(melatonin,gdnf)",9,966,10,23,28,222,326,6,13,0,0,melatonin,gdnf
2906,"(resveratrol,egr-1)",5,967,5,25,40,176,596,14,12,0,0,resveratrol,egr-1
3418,"(vardenafil,abcb1)",12,968,22,28,34,83,138,1,9,0,0,vardenafil,abcb1
64,"(aldosterone,inos)",16,969,18,19,21,30,597,25,7,0,0,aldosterone,inos
773,"(cyclophosphamide,filgrastim)",2,970,2,2,2,79,236,7,31,0,0,cyclophosphamide,filgrastim
3052,"(selegiline,mao-a)",4,971,6,6,6,17,20,8,20,0,1,selegiline,mao-a
419,"(carbachol,gastrin)",16,972,18,24,29,59,146,25,45,0,0,carbachol,gastrin
2181,"(metformin,resistin)",13,973,14,14,68,160,598,11,5,0,0,metformin,resistin
2747,"(propofol,hif-1)",3,974,3,46,103,348,599,20,7,0,0,propofol,hif-1
2651,"(picrotoxin,glyrs)",4,975,6,6,6,296,600,8,15,0,0,picrotoxin,glyrs
2363,"(nimesulide,aromatase)",18,976,30,39,47,349,601,21,5,0,0,nimesulide,aromatase
1830,"(il-2,p21ras)",5,977,5,83,105,350,602,14,22,0,0,il-2,p21ras
1018,"(digoxin,hif-1alpha)",20,978,26,35,106,351,603,9,5,0,0,digoxin,hif-1alpha
512,"(chloroquine,phospholipase)",4,979,6,6,6,93,604,8,25,0,0,chloroquine,phospholipase
2818,"(raltegravir,ugt1a1)",7,980,8,8,8,87,108,3,11,0,0,raltegravir,ugt1a1
253,"(atra,il-10)",18,981,24,31,71,352,605,21,6,0,0,atra,il-10
2224,"(miconazole,aromatase)",4,982,6,6,6,93,604,8,8,0,0,miconazole,aromatase
287,"(benzbromarone,urat1)",4,983,4,4,107,353,606,8,8,0,0,benzbromarone,urat1
42,"(albuterol,copd)",10,984,11,11,11,130,172,24,41,0,0,albuterol,copd
1320,"(fk506,fkbp5)",20,985,26,70,82,210,309,9,15,0,0,fk506,fkbp5
351,"(budesonide,icam-1)",3,986,3,3,3,4,607,20,7,0,0,budesonide,icam-1
84,"(aldosterone,wnk4)",12,987,22,28,34,154,608,1,6,0,0,aldosterone,wnk4
1015,"(diethylcarbamazine,leukotriene)",4,988,4,4,4,219,321,8,10,0,0,diethylcarbamazine,leukotriene
2281,"(n-acetylcysteine,egfr)",8,989,9,47,55,317,609,17,7,0,0,n-acetylcysteine,egfr
131,"(amlodipine,egfr)",8,990,9,9,19,354,610,17,10,0,0,amlodipine,egfr
2105,"(melatonin,12-lox)",8,991,9,9,9,43,49,17,13,0,0,melatonin,12-lox
1228,"(etodolac,cyclooxygenase-2)",13,992,14,14,14,125,164,11,15,0,1,etodolac,cyclooxygenase-2
2226,"(midazolam,cyp3a)",7,993,19,20,23,35,248,3,238,1,0,midazolam,cyp3a
2449,"(omeprazole,gastrin)",16,994,18,24,29,59,156,25,228,0,0,omeprazole,gastrin
2733,"(progestogens,igf-i)",1,995,1,1,1,96,403,13,6,0,0,progestogens,igf-i
3252,"(taxanes,mapt)",2,996,2,75,88,355,611,7,12,0,0,taxanes,mapt
247,"(atra,gm-csf)",8,997,9,9,19,28,333,17,22,0,0,atra,gm-csf
222,"(atorvastatin,pltp)",12,998,13,84,108,356,612,1,8,0,0,atorvastatin,pltp
778,"(cyclophosphamide,lenograstim)",9,999,10,23,28,42,493,6,7,0,0,cyclophosphamide,lenograstim
1212,"(estrone,aromatase)",6,1000,7,7,22,163,613,12,119,0,0,estrone,aromatase
892,"(dexamethasone,fmlp)",9,1001,10,23,28,42,493,6,11,0,0,dexamethasone,fmlp
3197,"(suramin,heparanase)",4,1002,6,6,6,357,614,8,14,0,0,suramin,heparanase
3215,"(talinolol,p-gp)",15,1003,16,27,33,51,615,10,20,1,0,talinolol,p-gp
3243,"(tamoxifen,vegf)",16,1004,18,24,29,127,616,25,53,0,0,tamoxifen,vegf
2074,"(losartan,nf-kappab)",21,1005,29,38,75,185,617,19,9,0,0,losartan,nf-kappab
1345,"(fluconazole,cyp3a4)",4,1006,6,6,6,150,204,8,16,0,0,fluconazole,cyp3a4
1963,"(isoproterenol,phospholipase)",3,1007,3,3,3,48,55,20,19,0,0,isoproterenol,phospholipase
1949,"(isoniazid,nat2)",7,1008,8,8,8,87,108,3,38,0,0,isoniazid,nat2
1708,"(hyaluronate,versican)",14,1009,46,85,109,358,618,23,13,0,0,hyaluronate,versican
2946,"(rifampin,mrp2)",16,1010,18,19,21,30,619,25,5,0,0,rifampin,mrp2
2529,"(pargyline,lsd1)",13,1011,14,14,14,20,24,11,7,0,0,pargyline,lsd1
1694,"(hyaluronan,hyal2)",12,1012,13,13,13,19,620,1,8,0,0,hyaluronan,hyal2
1259,"(exenatide,glp-1r)",5,1013,21,26,31,49,56,14,10,0,1,exenatide,glp-1r
2431,"(olanzapine,bdnf)",16,1014,18,24,29,127,616,25,15,0,0,olanzapine,bdnf
1048,"(docetaxel,mrp2)",7,1015,8,8,8,78,94,3,5,0,0,docetaxel,mrp2
3442,"(vasopressin,phospholipase)",5,1016,5,25,30,47,621,14,79,0,0,vasopressin,phospholipase
1723,"(hydrocortisone,gm-csf)",3,1017,3,3,3,4,607,20,6,0,0,hydrocortisone,gm-csf
738,"(curcumin,ikappabalpha)",4,1018,6,6,6,223,622,8,16,0,0,curcumin,ikappabalpha
208,"(atorvastatin,apoe)",16,1019,18,24,29,62,623,25,14,0,0,atorvastatin,apoe
2543,"(pentagastrin,calcitonin)",16,1020,18,24,29,59,156,25,128,0,0,pentagastrin,calcitonin
1030,"(disulfiram,aldh2)",13,1021,14,14,14,20,24,11,15,0,1,disulfiram,aldh2
541,"(ciprofloxacin,cyp3a4)",13,1022,14,14,14,20,24,11,5,0,0,ciprofloxacin,cyp3a4
2123,"(melatonin,igf-i)",5,1023,21,26,31,113,143,14,10,0,0,melatonin,igf-i
1471,"(gefitinib,cyp3a4)",7,1024,8,8,8,89,217,3,13,1,0,gefitinib,cyp3a4
2195,"(methotrexate,leukotriene)",4,1025,4,4,4,11,624,8,13,0,0,methotrexate,leukotriene
127,"(amitriptyline,gdnf)",5,1026,5,25,40,70,84,14,7,0,0,amitriptyline,gdnf
3451,"(verapamil,calcitonin)",9,1027,10,10,10,12,101,6,6,0,0,verapamil,calcitonin
675,"(corticosteroids,inos)",9,1028,10,10,10,12,169,6,5,0,0,corticosteroids,inos
1647,"(gp120,nf-kappab)",16,1029,18,24,29,268,625,25,15,0,0,gp120,nf-kappab
2779,"(prostacyclin,ppar)",6,1030,7,7,7,8,10,12,10,0,0,prostacyclin,ppar
3406,"(urokinase,u-par)",6,1031,7,7,22,31,550,12,56,0,1,urokinase,u-par
271,"(atra,vegf)",12,1032,22,45,53,299,484,1,32,0,0,atra,vegf
2075,"(losartan,pai-1)",4,1033,6,6,6,17,20,8,11,0,0,losartan,pai-1
733,"(curcumin,hif-1)",18,1034,34,58,66,192,626,21,8,0,0,curcumin,hif-1
1892,"(indomethacin,cox2)",13,1035,14,14,14,20,24,11,7,0,0,indomethacin,cox2
872,"(dexamethasone,c-fms)",8,1036,9,9,9,304,627,17,9,0,0,dexamethasone,c-fms
2000,"(l-dopa,zif-268)",8,1037,9,9,19,28,32,17,5,0,0,l-dopa,zif-268
2115,"(melatonin,cox-2)",3,1038,3,46,54,359,628,20,12,0,0,melatonin,cox-2
1005,"(diclofenac,smct1)",1,1039,1,1,95,279,441,13,7,0,0,diclofenac,smct1
1950,"(isoprenaline,cgrp)",9,1040,10,10,10,12,398,6,14,0,0,isoprenaline,cgrp
3312,"(thyroxine,mrp2)",2,1041,2,32,38,343,578,7,5,0,0,thyroxine,mrp2
392,"(capecitabine,larc)",10,1042,11,11,11,218,629,24,16,0,0,capecitabine,larc
1087,"(doxorubicin,xiap)",8,1043,9,9,19,28,32,17,8,0,0,doxorubicin,xiap
2845,"(rapamycin,ho-1)",16,1044,18,24,29,45,82,25,21,0,0,rapamycin,ho-1
3153,"(succinylcholine,bche)",7,1045,27,36,44,360,630,3,30,1,0,succinylcholine,bche
1193,"(estradiol,lhrh)",5,1046,21,33,39,156,631,14,65,0,0,estradiol,lhrh
3463,"(vigabatrin,swds)",2,1047,41,76,89,260,399,7,11,0,0,vigabatrin,swds
2230,"(mifepristone,gnrh)",5,1048,5,25,40,361,632,14,5,0,0,mifepristone,gnrh
59,"(aldosterone,egfr)",16,1049,18,24,29,124,314,25,21,0,0,aldosterone,egfr
805,"(cyclosporine,lymphokine)",13,1050,14,14,14,20,24,11,17,0,0,cyclosporine,lymphokine
1727,"(hydrocortisone,tlr2)",5,1051,5,25,40,70,633,14,5,0,0,hydrocortisone,tlr2
173,"(arsenite,ap-1)",18,1052,34,82,102,324,539,21,15,0,0,arsenite,ap-1
1326,"(fk506,icam-1)",16,1053,18,24,29,62,97,25,8,0,0,fk506,icam-1
2953,"(rimonabant,acat)",14,1054,15,29,35,362,634,23,6,0,0,rimonabant,acat
2369,"(nitroprusside,beta-galactosidase)",20,1055,26,35,42,363,635,9,7,0,0,nitroprusside,beta-galactosidase
1747,"(il-11,interleukin-11)",6,1056,35,51,59,364,636,12,23,0,0,il-11,interleukin-11
3244,"(tanespimycin,hsp90)",4,1057,6,6,6,231,551,8,13,0,0,tanespimycin,hsp90
1710,"(hyaluronidase,beta-glucuronidase)",12,1058,13,86,110,365,637,1,18,0,0,hyaluronidase,beta-glucuronidase
85,"(alefacept,lfa-3)",23,1059,32,73,86,366,638,16,13,0,0,alefacept,lfa-3
516,"(chlorpromazine,phospholipase)",13,1060,14,14,14,125,206,11,20,0,0,chlorpromazine,phospholipase
2129,"(melatonin,ml-1)",9,1061,10,10,10,367,639,6,8,0,0,melatonin,ml-1
440,"(carnitine,cact)",12,1062,13,13,13,368,640,1,14,0,1,carnitine,cact
1873,"(imipramine,cyp2d6)",7,1063,8,8,8,87,108,3,14,1,0,imipramine,cyp2d6
293,"(berberine,ap-1)",18,1064,24,31,71,277,435,21,12,0,0,berberine,ap-1
938,"(dexamethasone,osteocalcin)",16,1065,23,30,111,369,641,25,13,0,0,dexamethasone,osteocalcin
2370,"(nitroprusside,cgrp)",3,1066,3,3,3,244,369,20,11,0,0,nitroprusside,cgrp
2057,"(loratadine,cyp2d6)",7,1067,27,36,44,186,642,3,7,0,0,loratadine,cyp2d6
2915,"(resveratrol,il-18)",16,1068,23,30,36,335,643,25,7,0,0,resveratrol,il-18
2042,"(levodopa,comt)",4,1069,6,6,6,41,644,8,176,1,0,levodopa,comt
893,"(dexamethasone,g-csf)",2,1070,2,2,2,79,95,7,36,0,0,dexamethasone,g-csf
3109,"(sn-38,udp-glucuronosyltransferase)",12,1071,22,49,57,370,645,1,20,1,0,sn-38,udp-glucuronosyltransferase
2943,"(rifampin,cyp3a)",16,1072,18,72,85,371,646,25,39,0,0,rifampin,cyp3a
956,"(dexamethasone,rasd1)",11,1073,17,17,18,137,647,18,7,0,0,dexamethasone,rasd1
3170,"(sulindac,egr-1)",11,1074,12,12,12,152,208,18,13,0,0,sulindac,egr-1
1103,"(dydrogesterone,akr1c1)",15,1075,16,27,33,51,648,10,8,0,0,dydrogesterone,akr1c1
1539,"(genistein,nf-kappab)",4,1076,6,6,6,7,649,8,63,0,0,genistein,nf-kappab
2538,"(pegaptanib,vegf)",4,1077,6,6,6,150,650,8,58,0,0,pegaptanib,vegf
3065,"(sildenafil,endothelin-1)",4,1078,4,4,4,11,624,8,6,0,0,sildenafil,endothelin-1
372,"(calcitriol,cyp24)",16,1079,18,24,29,45,52,25,19,0,0,calcitriol,cyp24
3036,"(saha,waf1)",8,1080,9,9,19,28,32,17,8,0,0,saha,waf1
982,"(dhea,g6pd)",4,1081,6,6,6,357,651,8,29,0,0,dhea,g6pd
389,"(cangrelor,p2y12)",4,1082,4,4,4,5,293,8,21,1,0,cangrelor,p2y12
1044,"(docetaxel,cyp3a)",16,1083,18,21,83,372,652,25,42,1,0,docetaxel,cyp3a
279,"(azelastine,il-1)",4,1084,4,4,4,11,557,8,5,0,0,azelastine,il-1
1284,"(fenofibrate,statin)",2,1085,2,2,2,79,95,7,38,0,0,fenofibrate,statin
1652,"(haloperidol,alpha-msh)",16,1086,18,19,21,84,122,25,6,0,0,haloperidol,alpha-msh
484,"(cephalexin,pept1)",7,1087,8,8,8,54,114,3,20,0,0,cephalexin,pept1
1802,"(il-2,ifn-gamma)",2,1088,2,2,2,27,187,7,1352,0,0,il-2,ifn-gamma
1178,"(estradiol,ho-1)",1,1089,1,1,1,115,653,13,9,0,0,estradiol,ho-1
578,"(cisplatin,mkp-1)",2,1090,2,75,88,373,654,7,14,0,0,cisplatin,mkp-1
166,"(ara-c,p-gp)",8,1091,9,9,9,43,49,17,12,0,0,ara-c,p-gp
3365,"(trifluoperazine,mcat)",5,1092,5,5,5,374,655,14,6,0,0,trifluoperazine,mcat
2639,"(phenytoin,cyp3a4)",8,1093,9,9,19,28,32,17,8,0,0,phenytoin,cyp3a4
1630,"(gm-csf,stat5a)",5,1094,5,25,30,226,331,14,5,0,0,gm-csf,stat5a
106,"(amd3100,g-csf)",2,1095,2,2,2,3,4,7,35,0,0,amd3100,g-csf
1513,"(genistein,caspase-3)",21,1096,29,38,75,288,656,19,18,0,0,genistein,caspase-3
633,"(clotrimazole,cyp3a)",4,1097,6,6,6,150,657,8,8,0,0,clotrimazole,cyp3a
2240,"(minocycline,hmgb1)",8,1098,9,9,9,18,388,17,6,0,0,minocycline,hmgb1
2448,"(omeprazole,cyp3a4)",7,1099,19,20,23,35,248,3,20,0,0,omeprazole,cyp3a4
2182,"(metformin,stat3)",21,1100,29,38,46,94,177,19,8,0,0,metformin,stat3
2662,"(pioglitazone,enos)",12,1101,22,28,34,83,102,1,7,0,0,pioglitazone,enos
2168,"(metformin,glut1)",8,1102,9,9,9,43,63,17,12,0,0,metformin,glut1
2536,"(pazopanib,vegf)",22,1103,31,40,48,375,658,22,16,0,0,pazopanib,vegf
1824,"(il-2,m-csf)",2,1104,2,2,2,2,3,7,30,0,0,il-2,m-csf
3417,"(vanillin,nf-kappab)",4,1105,6,6,6,139,186,8,9,0,0,vanillin,nf-kappab
61,"(aldosterone,endothelin-1)",9,1106,10,23,28,46,659,6,27,0,0,aldosterone,endothelin-1
2894,"(resveratrol,at1r)",3,1107,3,46,54,376,660,20,6,0,0,resveratrol,at1r
544,"(cisapride,cyp3a4)",7,1108,8,8,8,87,427,3,13,1,0,cisapride,cyp3a4
1883,"(indomethacin,5-lipoxygenase)",13,1109,14,14,14,20,24,11,39,0,0,indomethacin,5-lipoxygenase
523,"(cilastatin,dehydropeptidase-i)",4,1110,6,6,6,14,181,8,12,0,1,cilastatin,dehydropeptidase-i
1098,"(dtic,cyp1a1)",7,1111,27,36,44,86,661,3,10,0,0,dtic,cyp1a1
1534,"(genistein,il-1)",23,1112,32,41,49,377,662,16,29,0,0,genistein,il-1
529,"(cilostazol,mcp-1)",3,1113,3,46,54,359,663,20,6,0,0,cilostazol,mcp-1
2255,"(mitoxantrone,g-csf)",2,1114,2,2,2,79,236,7,12,0,0,mitoxantrone,g-csf
3296,"(theophylline,ml-1)",8,1115,9,9,19,28,333,17,20,0,0,theophylline,ml-1
1516,"(genistein,chk2)",1,1116,1,1,1,1,107,13,9,0,0,genistein,chk2
586,"(cisplatin,octn2)",24,1117,36,52,60,378,664,4,6,0,0,cisplatin,octn2
480,"(celecoxib,vegf-c)",16,1118,18,24,29,227,665,25,7,0,0,celecoxib,vegf-c
1347,"(fluconazole,ugt2b7)",15,1119,16,16,16,22,532,10,5,0,0,fluconazole,ugt2b7
2170,"(metformin,igf-i)",9,1120,10,23,28,42,493,6,9,0,0,metformin,igf-i
2047,"(lidocaine,cyp3a4)",7,1121,27,36,44,186,666,3,16,1,0,lidocaine,cyp3a4
2838,"(rapamycin,foxo1)",1,1122,1,1,1,96,513,13,10,0,0,rapamycin,foxo1
2926,"(resveratrol,pi3k)",4,1123,6,6,6,223,327,8,12,0,0,resveratrol,pi3k
1325,"(fk506,hsp70)",2,1124,2,32,38,245,373,7,7,0,0,fk506,hsp70
2954,"(rimonabant,adiponectin)",16,1125,23,30,36,335,667,25,20,0,0,rimonabant,adiponectin
1418,"(forskolin,nnos)",9,1126,10,10,10,12,506,6,7,0,0,forskolin,nnos
590,"(cisplatin,plaa)",11,1127,12,71,84,303,668,18,5,0,0,cisplatin,plaa
2167,"(metformin,glp-1)",11,1128,17,17,18,137,669,18,38,0,0,metformin,glp-1
